eigenvectors,communities,modularity,time
1 , 1 , 0.0 , 0.3461489677429199
1 , 2 , 0.012719873771113499 , 0.36370396614074707
1 , 3 , 0.28018478321344736 , 0.3840353488922119
1 , 4 , 0.3125651401634632 , 0.39539098739624023
1 , 5 , 0.30647506313307776 , 0.408174991607666
1 , 10 , 0.3873228102145899 , 0.4748721122741699
1 , 15 , 0.38579169886655507 , 0.54010009765625
1 , 20 , 0.35955460755002305 , 0.5890438556671143
1 , 25 , 0.3537170911151024 , 0.6792500019073486
1 , 30 , 0.3420877348351282 , 0.715447187423706
1 , 35 , 0.3273196048671058 , 0.7706060409545898
1 , 40 , 0.3254072331974704 , 0.8233542442321777
1 , 45 , 0.3131960328095898 , 0.8658971786499023
1 , 50 , 0.30101284787747823 , 0.9546630382537842
2 , 1 , 0.0 , 0.7700490951538086
2 , 2 , 0.012719873771113499 , 0.7940821647644043
2 , 3 , 0.017994155592700324 , 0.8001449108123779
2 , 4 , 0.28303380504672415 , 0.8275232315063477
2 , 5 , 0.3208796687841616 , 0.8601512908935547
2 , 10 , 0.45384096640394744 , 0.9078412055969238
2 , 15 , 0.43828942413244876 , 1.0298490524291992
2 , 20 , 0.42407860291128696 , 1.0963852405548096
2 , 25 , 0.42157718014873663 , 1.1719512939453125
2 , 30 , 0.4001728423013407 , 1.2292840480804443
2 , 35 , 0.38685480263941924 , 1.3298022747039795
2 , 40 , 0.39197631246212666 , 1.346919059753418
2 , 45 , 0.3804889856416226 , 1.4340019226074219
2 , 50 , 0.38357100189636595 , 1.5314099788665771
3 , 1 , 0.0 , 0.6565067768096924
3 , 2 , 0.021882968723670543 , 0.694610595703125
3 , 3 , 0.03403232879886128 , 0.7045066356658936
3 , 4 , 0.039131413501228014 , 0.7222974300384521
3 , 5 , 0.3123641487485324 , 0.7575879096984863
3 , 10 , 0.44899082909909793 , 0.809734582901001
3 , 15 , 0.4520556750378834 , 0.8989765644073486
3 , 20 , 0.44188853532235695 , 1.044053077697754
3 , 25 , 0.4413188673865067 , 1.0403578281402588
3 , 30 , 0.4410997323382891 , 1.1734106540679932
3 , 35 , 0.4161557083447469 , 1.3317770957946777
3 , 40 , 0.4149931847821486 , 1.2893726825714111
3 , 45 , 0.4062654427470234 , 1.4604237079620361
3 , 50 , 0.4053665633963115 , 1.4658417701721191
4 , 1 , 0.0 , 2.3276524543762207
4 , 2 , 0.017221117021781692 , 2.3669230937957764
4 , 3 , 0.24629928668207296 , 2.3919341564178467
4 , 4 , 0.24685678121885105 , 2.406309127807617
4 , 5 , 0.25183019983940647 , 2.4173762798309326
4 , 10 , 0.40661052394842023 , 2.5218253135681152
4 , 15 , 0.4271618919656143 , 2.6372010707855225
4 , 20 , 0.4160612411041569 , 2.721642255783081
4 , 25 , 0.4008240997408125 , 2.7918190956115723
4 , 30 , 0.4178887289653646 , 2.915607213973999
4 , 35 , 0.401931687720491 , 2.9844701290130615
4 , 40 , 0.410124643183531 , 3.052260398864746
4 , 45 , 0.3931685873683797 , 3.113830089569092
4 , 50 , 0.39275386545074203 , 3.288142204284668
5 , 1 , 0.0 , 2.981517791748047
5 , 2 , 0.016926237919884058 , 3.0062828063964844
5 , 3 , 0.08605497538078395 , 3.0362517833709717
5 , 4 , 0.1657035705561114 , 3.0640978813171387
5 , 5 , 0.16779221526269827 , 3.0585899353027344
5 , 10 , 0.3981306228902584 , 3.165350914001465
5 , 15 , 0.41104969672873976 , 3.2653989791870117
5 , 20 , 0.42131388255983065 , 3.4148786067962646
5 , 25 , 0.4328658448607381 , 3.4690349102020264
5 , 30 , 0.4374650493116388 , 3.5739519596099854
5 , 35 , 0.4527704254884156 , 3.6244516372680664
5 , 40 , 0.441391436373686 , 3.7295098304748535
5 , 45 , 0.4419167448869949 , 3.815927028656006
5 , 50 , 0.4264520746533392 , 3.9577298164367676
10 , 1 , 0.0 , 7.090775728225708
10 , 2 , 0.2568743045911117 , 7.117281675338745
10 , 3 , 0.529512509329427 , 7.126712799072266
10 , 4 , 0.5407664756945969 , 7.14249587059021
10 , 5 , 0.5453122003790957 , 7.160008668899536
10 , 10 , 0.592921579395763 , 7.25592565536499
10 , 15 , 0.5860591958621933 , 7.353384733200073
10 , 20 , 0.5411031630738999 , 7.469608783721924
10 , 25 , 0.5385857485135254 , 7.614337921142578
10 , 30 , 0.5244460737388315 , 7.629069805145264
