eigenvectors,communities,modularity,time
1 , 1 , 0.0 , 2.455728054046631
1 , 2 , -0.020937836944582372 , 2.478888988494873
1 , 3 , -0.0381237456532297 , 2.507462978363037
1 , 4 , -0.04078370747712375 , 2.521541118621826
1 , 5 , -0.05056142144033786 , 2.5507588386535645
1 , 10 , -0.02527131618418173 , 2.667314052581787
1 , 15 , -0.021038199846239693 , 2.778855323791504
1 , 20 , -0.015179489947807425 , 2.881155014038086
1 , 25 , -0.01483439524202309 , 3.0537219047546387
1 , 30 , -0.014064106744434446 , 3.1497581005096436
1 , 35 , -0.013904218337330927 , 3.2271530628204346
1 , 40 , -0.01386716688754742 , 3.346498727798462
1 , 45 , -0.013867371313650746 , 3.4494588375091553
1 , 50 , -0.013830162637062977 , 3.5523998737335205
2 , 1 , 0.0 , 2.403183698654175
2 , 2 , -0.016944647147026672 , 2.4334959983825684
2 , 3 , -0.018150177573296775 , 2.4671730995178223
2 , 4 , -0.01228470629712572 , 2.479390859603882
2 , 5 , -0.028994955473322117 , 2.511836290359497
2 , 10 , -0.05259216565716164 , 2.653853178024292
2 , 15 , -0.026993886799920513 , 2.843712091445923
2 , 20 , -0.02649060004859651 , 2.958407163619995
2 , 25 , -0.018951968633533885 , 3.0759921073913574
2 , 30 , -0.021619318241758577 , 3.229189157485962
2 , 35 , -0.014455556163172723 , 3.415858745574951
2 , 40 , -0.014342122181449705 , 3.5457582473754883
2 , 45 , -0.012159823515881725 , 3.682084083557129
2 , 50 , -0.012092165664976156 , 3.819689989089966
3 , 1 , 0.0 , 2.643059253692627
3 , 2 , -0.0019123283647109676 , 2.680903196334839
3 , 3 , 0.007702013508033127 , 2.7086803913116455
3 , 4 , 0.0071186536146748795 , 2.7565271854400635
3 , 5 , 0.007137252013984019 , 2.783046007156372
3 , 10 , -0.018789644617566086 , 2.9519901275634766
3 , 15 , -0.03809631442085025 , 3.0893912315368652
3 , 20 , -0.0225211527487942 , 3.2869513034820557
3 , 25 , -0.021088927214789235 , 3.58970046043396
3 , 30 , -0.013133501920269108 , 3.7395131587982178
3 , 35 , -0.012993631954963239 , 3.82053804397583
3 , 40 , -0.009691292984319635 , 4.042079448699951
3 , 45 , -0.009154122762657497 , 4.378960132598877
3 , 50 , -0.009457658641884553 , 4.372279167175293
4 , 1 , 0.0 , 4.005836009979248
4 , 2 , 0.09490431209514398 , 4.057753086090088
4 , 3 , 0.07300187401534963 , 4.082862854003906
4 , 4 , 0.08003289040958858 , 4.125296115875244
4 , 5 , 0.07866722463948438 , 4.1591880321502686
4 , 10 , 0.04204199984305444 , 4.365453004837036
4 , 15 , 0.042454628931379274 , 4.572617053985596
4 , 20 , 0.014986191626247309 , 4.709494113922119
4 , 25 , 0.010962925247516185 , 4.9178690910339355
4 , 30 , 0.0024870042121936057 , 5.142370939254761
4 , 35 , 0.004901102073938769 , 5.49519681930542
4 , 40 , 0.008850215228022401 , 5.771453142166138
4 , 45 , 0.0087231765953492 , 5.854952096939087
4 , 50 , 0.00748780339635216 , 6.169449806213379
5 , 1 , 0.0 , 4.269379377365112
5 , 2 , 0.08934708662560814 , 4.323807001113892
5 , 3 , 0.15331572809896638 , 4.350151300430298
5 , 4 , 0.12149982462022027 , 4.375081300735474
5 , 5 , 0.12607431317088155 , 4.43520712852478
5 , 10 , 0.11598836527900153 , 4.635022163391113
5 , 15 , 0.06916010925918809 , 4.81003999710083
5 , 20 , 0.05871169982008474 , 5.144951105117798
5 , 25 , 0.05871854809454634 , 5.411489009857178
5 , 30 , 0.05433223564747067 , 5.547936201095581
5 , 35 , 0.02575974640910624 , 5.772279262542725
5 , 40 , 0.02440893872829241 , 6.399464130401611
5 , 45 , 0.021580380070324146 , 6.514368295669556
5 , 50 , 0.016986866763771154 , 6.662380218505859
10 , 1 , 0.0 , 17.435633897781372
10 , 2 , 0.157860817425281 , 17.536780834197998
10 , 3 , 0.2102999376359725 , 17.646997213363647
10 , 4 , 0.23411401515825808 , 17.742492198944092
10 , 5 , 0.23686128943390083 , 17.763209104537964
10 , 10 , 0.2530432815540873 , 18.043243885040283
10 , 15 , 0.2092282212861306 , 18.41770100593567
10 , 20 , 0.19769366188900878 , 18.519431114196777
10 , 25 , 0.1896422135277224 , 18.829928874969482
10 , 30 , 0.1752822525118428 , 19.048752069473267
10 , 35 , 0.17364916207725117 , 19.41849708557129
10 , 40 , 0.16452224674102517 , 19.5898699760437
10 , 45 , 0.15698565583605814 , 19.874091148376465
10 , 50 , 0.152415590266073 , 20.007323265075684
15 , 1 , 0.0 , 15.474260330200195
15 , 2 , 0.2051702768634303 , 15.601019382476807
15 , 3 , 0.22129708487595207 , 15.757939338684082
15 , 4 , 0.23002907492452682 , 15.821209192276001
15 , 5 , 0.23106108697391398 , 15.883039474487305
15 , 10 , 0.255406180054292 , 16.433176279067993
15 , 15 , 0.24350168474147157 , 16.71335220336914
15 , 20 , 0.22927487107284839 , 16.7943012714386
15 , 25 , 0.22303265374105002 , 17.051409482955933
15 , 30 , 0.2101464427021373 , 17.639591455459595
15 , 35 , 0.20160627466856906 , 18.070610523223877
15 , 40 , 0.1883323985944549 , 18.008016347885132
15 , 45 , 0.1889297229162021 , 18.301400423049927
15 , 50 , 0.17927999782320583 , 18.995306491851807
20 , 1 , 0.0 , 19.554909229278564
20 , 2 , 0.20483292096722736 , 19.687692880630493
20 , 3 , 0.22291581609596434 , 19.925607919692993
20 , 4 , 0.2292315840017569 , 19.935726165771484
20 , 5 , 0.23250744604108148 , 20.043434858322144
20 , 10 , 0.254266627684005 , 20.46814799308777
20 , 15 , 0.24440209514250288 , 20.68119478225708
20 , 20 , 0.2374472796723043 , 20.99860978126526
20 , 25 , 0.23169233383826687 , 21.556617736816406
20 , 30 , 0.22376188635030816 , 22.161170721054077
20 , 35 , 0.21994970961568971 , 22.088064908981323
20 , 40 , 0.2098415649249568 , 22.47312593460083
20 , 45 , 0.20643056754140768 , 23.2027530670166
20 , 50 , 0.19919060954003176 , 23.805299758911133
25 , 1 , 0.0 , 15.449160814285278
25 , 2 , 0.2084854418528782 , 15.57870888710022
25 , 3 , 0.22331178289397685 , 15.84174394607544
25 , 4 , 0.2333473144325564 , 16.005820989608765
25 , 5 , 0.26238455047536025 , 16.017932891845703
25 , 10 , 0.28539512682240675 , 16.51166272163391
25 , 15 , 0.27695249285833184 , 16.695129871368408
25 , 20 , 0.2729189848568551 , 16.998002767562866
25 , 25 , 0.2644288105709426 , 17.509342908859253
25 , 30 , 0.2597568907889958 , 18.550285816192627
25 , 35 , 0.2498315586735503 , 18.190154790878296
25 , 40 , 0.2384350031502407 , 18.85721182823181
25 , 45 , 0.2328603714544204 , 19.9704270362854
25 , 50 , 0.22439649968122496 , 20.198463916778564
30 , 1 , 0.0 , 14.14662218093872
30 , 2 , 0.210003594804895 , 14.288214206695557
30 , 3 , 0.22645850296232645 , 14.521796226501465
30 , 4 , 0.24058139002592227 , 14.76727819442749
30 , 5 , 0.2531288288770813 , 14.92190670967102
30 , 10 , 0.2610763584477938 , 15.582942008972168
30 , 15 , 0.2563366392170443 , 15.910018920898438
30 , 20 , 0.2663583673049768 , 16.03622531890869
30 , 25 , 0.25963467148607977 , 16.404551029205322
30 , 30 , 0.25583599562646925 , 17.16880512237549
30 , 35 , 0.2508614936411995 , 17.39531707763672
