eigenvectors,communities,modularity,time
1 , 1 , 0.0 , 11.86548900604248
1 , 2 , 0.10831086449983748 , 11.887286901473999
1 , 3 , 0.1891433802675788 , 11.89835786819458
1 , 4 , 0.23113214596189588 , 11.912873983383179
1 , 5 , 0.23210037619044088 , 11.925621747970581
1 , 10 , 0.1837864455213119 , 11.970702886581421
1 , 15 , 0.134012565856882 , 12.028923749923706
1 , 20 , 0.09339025857616229 , 12.073637008666992
1 , 25 , 0.08387788248584317 , 12.123159885406494
1 , 30 , 0.06819924939242288 , 12.16864562034607
1 , 35 , 0.06047758241674148 , 12.259065866470337
1 , 40 , 0.051532312119625896 , 12.289521932601929
1 , 45 , 0.04838230114775944 , 12.332100868225098
1 , 50 , 0.03996728022762258 , 12.38408875465393
15 , 1 , 0.0 , 12.927502155303955
15 , 2 , 0.4832071356322575 , 12.944770097732544
15 , 3 , 0.6470349728989095 , 12.968009233474731
15 , 4 , 0.7030992158437537 , 12.987962007522583
15 , 5 , 0.770087404497322 , 13.001420021057129
15 , 10 , 0.8309165679105858 , 13.065768957138062
15 , 15 , 0.8296563303241102 , 13.139875888824463
15 , 20 , 0.7993063646512012 , 13.194944858551025
15 , 25 , 0.7777908449928084 , 13.279380083084106
15 , 30 , 0.7589842984514886 , 13.351820945739746
15 , 35 , 0.736457682249148 , 13.445932388305664
15 , 40 , 0.7079813618114297 , 13.47465705871582
15 , 45 , 0.6553688156407262 , 13.611814022064209
15 , 50 , 0.6699468338694584 , 13.745097875595093
20 , 1 , 0.0 , 12.709661722183228
20 , 2 , 0.4839909173750201 , 12.73121190071106
20 , 3 , 0.6070488798250031 , 12.75430703163147
20 , 4 , 0.678179734363435 , 12.775799989700317
20 , 5 , 0.7005312422559697 , 12.781904935836792
20 , 10 , 0.8279878284441916 , 12.866405963897705
20 , 15 , 0.8271265695656722 , 12.914822101593018
20 , 20 , 0.8241159109674451 , 12.983243703842163
20 , 25 , 0.8044828111627409 , 13.06505298614502
20 , 30 , 0.7880728004355119 , 13.17693305015564
20 , 35 , 0.7744843731161222 , 13.27597188949585
20 , 40 , 0.7665905036503159 , 13.2857027053833
20 , 45 , 0.7313902566073083 , 13.414957046508789
20 , 50 , 0.6887172617368604 , 13.497265100479126
25 , 1 , 0.0 , 12.763216495513916
25 , 2 , 0.4832225761349534 , 12.803597450256348
25 , 3 , 0.6470349728989095 , 12.817174434661865
25 , 4 , 0.7166729758544608 , 12.827051401138306
25 , 5 , 0.769734451224324 , 12.84622049331665
25 , 10 , 0.822420317946637 , 12.909850120544434
25 , 15 , 0.821740492489014 , 12.962031364440918
25 , 20 , 0.8208148174100776 , 13.0353844165802
25 , 25 , 0.8129354795474175 , 13.0866060256958
25 , 30 , 0.8066680829357981 , 13.16222333908081
25 , 35 , 0.7955417407368206 , 13.246584177017212
25 , 40 , 0.7603477842523343 , 13.379469394683838
25 , 45 , 0.7543378538614467 , 13.421631336212158
25 , 50 , 0.731873817692329 , 13.51035737991333
30 , 1 , 0.0 , 12.929666996002197
30 , 2 , 0.4601990104335344 , 12.988708972930908
30 , 3 , 0.5574671083985957 , 12.989182233810425
30 , 4 , 0.7000573477980564 , 13.021108150482178
30 , 5 , 0.7512830705406821 , 13.03075098991394
30 , 10 , 0.8230735475596762 , 13.102703094482422
30 , 15 , 0.8203208183022098 , 13.169041156768799
30 , 20 , 0.8112642751813376 , 13.23018193244934
30 , 25 , 0.809032230533175 , 13.275240182876587
30 , 30 , 0.8018468191086521 , 13.368674039840698
30 , 35 , 0.8001804743880098 , 13.429404020309448
30 , 40 , 0.7725259698509368 , 13.48671817779541
30 , 45 , 0.7534312678566748 , 13.615780353546143
30 , 50 , 0.7433868353157028 , 13.67111587524414
35 , 1 , 0.0 , 13.25214409828186
35 , 2 , 0.4601990104335344 , 13.299624919891357
35 , 3 , 0.6443954848056044 , 13.306327819824219
35 , 4 , 0.7172144544310493 , 13.340136766433716
35 , 5 , 0.7180407768087723 , 13.358730554580688
35 , 10 , 0.8038590296510619 , 13.421169996261597
35 , 15 , 0.8131884934319925 , 13.480453729629517
35 , 20 , 0.8164693097692327 , 13.540168046951294
35 , 25 , 0.8073051481120177 , 13.602743864059448
35 , 30 , 0.8029395427574219 , 13.693886041641235
35 , 35 , 0.7926076458148897 , 13.748708963394165
35 , 40 , 0.787144684904767 , 13.880642890930176
35 , 45 , 0.7848129280288446 , 13.973958015441895
35 , 50 , 0.7670423702674172 , 14.062464952468872
40 , 1 , 0.0 , 12.959047794342041
40 , 2 , 0.4588786378897794 , 12.999818086624146
40 , 3 , 0.5590238020826088 , 13.027613878250122
40 , 4 , 0.7000222676921586 , 13.053261280059814
40 , 5 , 0.7686831596382193 , 13.093992948532104
40 , 10 , 0.8209253882001304 , 13.156567811965942
40 , 15 , 0.8141603777552793 , 13.227073192596436
40 , 20 , 0.8145637710998416 , 13.277391910552979
40 , 25 , 0.8035961212722502 , 13.352143049240112
40 , 30 , 0.8015476159534238 , 13.422945022583008
40 , 35 , 0.7964347216354015 , 13.489922046661377
40 , 40 , 0.7917092218590912 , 13.560436010360718
40 , 45 , 0.7808895820715405 , 13.636199951171875
40 , 50 , 0.7726626902564837 , 13.673967838287354
45 , 1 , 0.0 , 12.596340894699097
45 , 2 , 0.4840731709859971 , 12.639065027236938
45 , 3 , 0.6470368341135047 , 12.701766967773438
45 , 4 , 0.7079676756544164 , 12.704495191574097
45 , 5 , 0.7356404200302987 , 12.722594022750854
45 , 10 , 0.819164329942356 , 12.797679901123047
45 , 15 , 0.8110155390075747 , 12.859538793563843
45 , 20 , 0.799978288938169 , 12.945029973983765
45 , 25 , 0.7989923860981202 , 13.055674076080322
45 , 30 , 0.7936755841608514 , 13.074729204177856
45 , 35 , 0.7891302001194527 , 13.172146320343018
45 , 40 , 0.7839108599330409 , 13.271419286727905
45 , 45 , 0.7784335205300413 , 13.537694215774536
45 , 50 , 0.7621107258820207 , 13.690845012664795
50 , 1 , 0.0 , 12.692906141281128
50 , 2 , 0.4839909173750201 , 12.7571120262146
50 , 3 , 0.6443954848056044 , 12.79111933708191
50 , 4 , 0.707814291790745 , 12.82142424583435
50 , 5 , 0.6894839641704111 , 12.814877271652222
50 , 10 , 0.7960334914871812 , 12.903882026672363
50 , 15 , 0.8011630447676408 , 12.974245309829712
50 , 20 , 0.8005007596198632 , 13.005228042602539
50 , 25 , 0.799468442210997 , 13.086360216140747
50 , 30 , 0.7938400658216114 , 13.154966354370117
50 , 35 , 0.7848149517946522 , 13.230266094207764
50 , 40 , 0.7739187499364087 , 13.365565299987793
50 , 45 , 0.7741824139760526 , 13.486129999160767
50 , 50 , 0.7728936356463871 , 13.550347089767456
55 , 1 , 0.0 , 13.917210340499878
55 , 2 , 0.46903392592626614 , 13.980749368667603
55 , 3 , 0.6469173851114709 , 14.024468183517456
55 , 4 , 0.7070189232485499 , 14.024607181549072
55 , 5 , 0.6545137155970866 , 14.046321153640747
55 , 10 , 0.7941831938339593 , 14.123948335647583
55 , 15 , 0.8085451952451334 , 14.16272521018982
55 , 20 , 0.8038299123680721 , 14.245737075805664
55 , 25 , 0.7951932143030092 , 14.341833114624023
55 , 30 , 0.7900468359123503 , 14.436355352401733
55 , 35 , 0.7866971000445961 , 14.48025131225586
55 , 40 , 0.7794691706562225 , 14.594857454299927
55 , 45 , 0.7471132248856621 , 14.629709005355835
55 , 50 , 0.74979364871774 , 14.774489164352417
60 , 1 , 0.0 , 14.156343698501587
60 , 2 , 0.45766301865232095 , 14.22331190109253
60 , 3 , 0.6443954848056044 , 14.258800029754639
60 , 4 , 0.6806424237042371 , 14.287872791290283
60 , 5 , 0.76661033457713 , 14.302794933319092
60 , 10 , 0.8054246371914351 , 14.36497688293457
60 , 15 , 0.8067994152599627 , 14.463259935379028
60 , 20 , 0.7995793886478465 , 14.518622875213623
60 , 25 , 0.7822680209141168 , 14.614157676696777
60 , 30 , 0.7877128230362525 , 14.743201971054077
60 , 35 , 0.7733969231656022 , 14.783824920654297
60 , 40 , 0.7720635565438013 , 14.85535979270935
60 , 45 , 0.7685716811688749 , 14.941477060317993
60 , 50 , 0.7676821362599713 , 15.031360626220703
65 , 1 , 0.0 , 14.106976985931396
65 , 2 , 0.4839909173750201 , 14.210718870162964
65 , 3 , 0.6470368341135047 , 14.219630002975464
65 , 4 , 0.5543862746885806 , 14.278398036956787
65 , 5 , 0.7266748879910652 , 14.280853986740112
65 , 10 , 0.8028998833443098 , 14.356669902801514
65 , 15 , 0.8000676957658612 , 14.439090967178345
65 , 20 , 0.7900711991985567 , 14.535335779190063
65 , 25 , 0.7851181622129818 , 14.585307836532593
65 , 30 , 0.7660385383690087 , 14.707265138626099
65 , 35 , 0.7740134024606399 , 14.706990003585815
65 , 40 , 0.7359385429360621 , 14.762316226959229
65 , 45 , 0.7540388709949022 , 14.852307081222534
65 , 50 , 0.752547636767686 , 14.934378862380981
70 , 1 , 0.0 , 15.774295806884766
70 , 2 , 0.44575504185089626 , 15.892693758010864
70 , 3 , 0.5434930907210831 , 15.915282964706421
70 , 4 , 0.6045802914358303 , 15.911157846450806
70 , 5 , 0.6587732260038088 , 15.937530994415283
70 , 10 , 0.7645923055876026 , 16.02614188194275
70 , 15 , 0.792119410242529 , 16.107666730880737
70 , 20 , 0.7889137048965282 , 16.2132887840271
70 , 25 , 0.7737636755658156 , 16.27642512321472
70 , 30 , 0.7640184155451737 , 16.356238842010498
70 , 35 , 0.7619872231186324 , 16.423704862594604
70 , 40 , 0.7528769713687634 , 16.472891092300415
70 , 45 , 0.7507033522890714 , 16.578250885009766
70 , 50 , 0.7471050706078047 , 16.6840980052948
75 , 1 , 0.0 , 16.70707607269287
75 , 2 , 0.4449483200923428 , 16.788567066192627
75 , 3 , 0.6391407160975192 , 16.87758994102478
75 , 4 , 0.6509423127318152 , 16.84403395652771
75 , 5 , 0.6981673661338896 , 16.872248888015747
75 , 10 , 0.7846904495757253 , 16.979877948760986
75 , 15 , 0.7912506167845522 , 17.05195188522339
75 , 20 , 0.7822671752753115 , 17.130741119384766
75 , 25 , 0.7603522694712334 , 17.212822198867798
75 , 30 , 0.7553292544134276 , 17.296849012374878
75 , 35 , 0.7650983374670954 , 17.41474676132202
75 , 40 , 0.7467976332157077 , 17.476232767105103
75 , 45 , 0.749214265009498 , 17.548300743103027
75 , 50 , 0.7485584670744558 , 17.673940658569336
80 , 1 , 0.0 , 17.566885471343994
80 , 2 , 0.4839909173750201 , 17.672050714492798
80 , 3 , 0.5929270786258722 , 17.729629516601562
